lane_barcode	hgsc_xfer_subdir	batch	sample_id_nwd_id	run_name	current_cram_name	new_cram_name	result_path	cram_path
HGHF3CCXY-2	TMSOL	TMSOL_batch24a	NWD432657	171216_ST-E00238_0623_BHGHF3CCXY_2	HGHF3CCXY-2.hgv.cram	NWD432657-HGHF3CCXY-2.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-2	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-2/HGHF3CCXY-2.hgv.cram
HGHF3CCXY-4	TMSOL	TMSOL_batch24a	NWD759973	171216_ST-E00238_0623_BHGHF3CCXY_4	HGHF3CCXY-4.hgv.cram	NWD759973-HGHF3CCXY-4.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-4	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0623_BHGHF3CCXY/Results/Project_HGHF3CCXY/Sample_HGHF3CCXY-4/HGHF3CCXY-4.hgv.cram
HGHWYCCXY-2	TMSOL	TMSOL_batch24a	NWD156087	171217_ST-E00186_0659_BHGHWYCCXY_2	HGHWYCCXY-2.hgv.cram	NWD156087-HGHWYCCXY-2.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-2	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-2/HGHWYCCXY-2.hgv.cram
HGHWYCCXY-3	TMSOL	TMSOL_batch24a	NWD968209	171217_ST-E00186_0659_BHGHWYCCXY_3	HGHWYCCXY-3.hgv.cram	NWD968209-HGHWYCCXY-3.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-3	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-3/HGHWYCCXY-3.hgv.cram
HGHWYCCXY-8	TMSOL	TMSOL_batch24a	NWD606847	171217_ST-E00186_0659_BHGHWYCCXY_8	HGHWYCCXY-8.hgv.cram	NWD606847-HGHWYCCXY-8.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-8	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-8/HGHWYCCXY-8.hgv.cram
HGHWYCCXY-5	TMSOL	TMSOL_batch24a	NWD113979	171217_ST-E00186_0659_BHGHWYCCXY_5	HGHWYCCXY-5.hgv.cram	NWD113979-HGHWYCCXY-5.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-5	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-5/HGHWYCCXY-5.hgv.cram
HGHWYCCXY-6	TMSOL	TMSOL_batch24a	NWD225215	171217_ST-E00186_0659_BHGHWYCCXY_6	HGHWYCCXY-6.hgv.cram	NWD225215-HGHWYCCXY-6.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-6	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-6/HGHWYCCXY-6.hgv.cram
HGHWYCCXY-7	TMSOL	TMSOL_batch24a	NWD832438	171217_ST-E00186_0659_BHGHWYCCXY_7	HGHWYCCXY-7.hgv.cram	NWD832438-HGHWYCCXY-7.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-7	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-7/HGHWYCCXY-7.hgv.cram
HGHWYCCXY-1	TMSOL	TMSOL_batch24a	NWD818352	171217_ST-E00186_0659_BHGHWYCCXY_1	HGHWYCCXY-1.hgv.cram	NWD818352-HGHWYCCXY-1.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-1	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-1/HGHWYCCXY-1.hgv.cram
HGHWYCCXY-4	TMSOL	TMSOL_batch24a	NWD391382	171217_ST-E00186_0659_BHGHWYCCXY_4	HGHWYCCXY-4.hgv.cram	NWD391382-HGHWYCCXY-4.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-4	/stornext/snfs130/next-gen/Illumina/Instruments/E00186/171217_ST-E00186_0659_BHGHWYCCXY/Results/Project_HGHWYCCXY/Sample_HGHWYCCXY-4/HGHWYCCXY-4.hgv.cram
