sample_id/nwd_id	lane_barcode	hgsc_xfer_subdir	batch	run_name	current_cram_name	new_cram_name	result_path	cram_path
NWD951880	HHGGTCCXY-2	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_2	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-2	#N/A
NWD432724	HHGGTCCXY-5	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_5	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-5	#N/A
NWD952596	HHGGTCCXY-4	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_4	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-4	#N/A
NWD854174	HHGGTCCXY-1	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_1	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-1	#N/A
NWD580071	HHGGTCCXY-8	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_8	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-8	#N/A
NWD644080	HHGGTCCXY-6	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_6	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-6	#N/A
NWD458997	HGHJJCCXY-7	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_7	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-7	#N/A
NWD805363	HGHJJCCXY-6	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_6	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-6	#N/A
NWD424334	HGHJJCCXY-8	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_8	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-8	#N/A
NWD672202	HGHJJCCXY-2	TMSOL	TMSOL_batch24a	171220_E00538_0173_BHGHJJCCXY_2	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0173_BHGHJJCCXY/Results/Project_HGHJJCCXY/Sample_HGHJJCCXY-2	#N/A
